====== W (10250KeV) into W11Ta                  =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  W   Energy = 10260 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 6.248E22 atoms/cm3 = 19.04 g/cm3
  Layer # 1-  W = 88.8 Atomic Percent = 88.9 Mass Percent
  Layer # 1- Ta = 11.1 Atomic Percent = 11.0 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 16896 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  3502.56E-05  1765.95E-03  
400010.E-03  3731.89E-05  1890.49E-03  
600010.E-03  3938.39E-05  1976.39E-03  
800010.E-03  4132.88E-05  2201.72E-03  
100001.E-02  4316.71E-05  2205.05E-03  
120001.E-02  4444.83E-05  2245.52E-03  
140001.E-02  4602.68E-05  2301.64E-03  
160001.E-02  4754.78E-05  2441.82E-03  
180001.E-02  4923.35E-05  2504.83E-03  
200001.E-02  4985.36E-05  2541.88E-03  
220001.E-02  5101.17E-05  2574.81E-03  
240001.E-02  5205.47E-05  2631.06E-03  
260001.E-02  5156.68E-05  2608.13E-03  
280001.E-02  5230.20E-05  2639.42E-03  
300001.E-02  5366.28E-05  2691.35E-03  
320001.E-02  5321.89E-05  2748.39E-03  
340001.E-02  5341.91E-05  2753.79E-03  
360001.E-02  5247.01E-05  2679.55E-03  
380001.E-02  5183.65E-05  2694.90E-03  
400001.E-02  5146.22E-05  2502.70E-03  
420001.E-02  5110.53E-05  2469.98E-03  
440001.E-02  4998.92E-05  2516.14E-03  
460001.E-02  4713.14E-05  2313.32E-03  
480001.E-02  4610.19E-05  2293.77E-03  
500001.E-02  4497.13E-05  2127.36E-03  
520001.E-02  4300.84E-05  2111.11E-03  
540001.E-02  4086.78E-05  1986.34E-03  
560001.E-02  3894.79E-05  1850.96E-03  
580001.E-02  3746.10E-05  1803.82E-03  
600001.E-02  3547.71E-05  1644.22E-03  
620001.E-02  3277.69E-05  1522.86E-03  
640001.E-02  3081.80E-05  1393.03E-03  
660001.E-02  2779.16E-05  1259.71E-03  
680001.E-02  2605.09E-05  1164.14E-03  
700001.E-02  2412.05E-05  1055.30E-03  
720001.E-02  2192.58E-05  9737.78E-04  
740001.E-02  2014.71E-05  8808.80E-04  
760001.E-02  1772.42E-05  7618.68E-04  
780001.E-02  1588.69E-05  6644.61E-04  
800001.E-02  1429.79E-05  5905.59E-04  
820001.E-02  1203.39E-05  5108.65E-04  
840001.E-02  1062.16E-05  4481.96E-04  
860001.E-02  8841.61E-06  3402.49E-04  
880001.E-02  8054.54E-06  3295.68E-04  
900001.E-02  6748.76E-06  2569.77E-04  
920001.E-02  5262.70E-06  2002.82E-04  
940001.E-02  4527.05E-06  1702.79E-04  
960001.E-02  3682.37E-06  1363.65E-04  
980001.E-02  2512.38E-06  9436.29E-05  
100000.E-01  2160.94E-06  6788.29E-05  
102000.E-01  1774.50E-06  6097.91E-05  
104000.E-01  1300.53E-06  4649.07E-05  
106000.E-01  1127.02E-06  4022.63E-05  
108000.E-01  9500.17E-07  3352.67E-05  
110000.E-01  6605.10E-07  1900.11E-05  
112000.E-01  4735.06E-07  1521.59E-05  
114000.E-01  3690.04E-07  1088.60E-05  
116000.E-01  2920.02E-07  8519.72E-06  
118000.E-01  1485.00E-07  2896.49E-06  
120000.E-01  4650.00E-08  2343.05E-06  
122000.E-01  5250.00E-08  1990.19E-06  
124000.E-01  5700.00E-08  1962.49E-06  
126000.E-01  4200.00E-08  6754.86E-07  
128000.E-01  2500.00E-09  1142.42E-07  
130000.E-01  4500.00E-09  1486.07E-07  
132000.E-01  8000.00E-09  1739.94E-07  
134000.E-01  6500.00E-09  2269.42E-07  
136000.E-01  2500.00E-09  1068.66E-06  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
