====== W (10260) into Layer 1                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  W   Energy = 10260 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 6.314E22 atoms/cm3 = 19.26 g/cm3
  Layer # 1-  W = 97   Atomic Percent = 97.0 Mass Percent
  Layer # 1- Ta = 3    Atomic Percent = 2.95 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 63925 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  3987.23E-05  4611.90E-03  
400010.E-03  4182.73E-05  4682.17E-03  
600010.E-03  4224.17E-05  4634.15E-03  
800010.E-03  4309.45E-05  5049.48E-03  
100001.E-02  4370.21E-05  4812.97E-03  
120001.E-02  4488.77E-05  5223.10E-03  
140001.E-02  4579.71E-05  5395.63E-03  
160001.E-02  4672.55E-05  5270.61E-03  
180001.E-02  4793.67E-05  5748.29E-03  
200001.E-02  4864.04E-05  5646.52E-03  
220001.E-02  4963.39E-05  6090.00E-03  
240001.E-02  5023.30E-05  5818.97E-03  
260001.E-02  5134.65E-05  6114.56E-03  
280001.E-02  5285.45E-05  6257.24E-03  
300001.E-02  5443.25E-05  6606.95E-03  
320001.E-02  5528.34E-05  6598.91E-03  
340001.E-02  5614.22E-05  6823.68E-03  
360001.E-02  5710.47E-05  6882.27E-03  
380001.E-02  5852.25E-05  6973.69E-03  
400001.E-02  5965.56E-05  7126.95E-03  
420001.E-02  6142.89E-05  7578.65E-03  
440001.E-02  6191.23E-05  7630.24E-03  
460001.E-02  6414.20E-05  7502.65E-03  
480001.E-02  6357.40E-05  7447.96E-03  
500001.E-02  6378.52E-05  7610.46E-03  
520001.E-02  6512.20E-05  8154.52E-03  
540001.E-02  6463.95E-05  7545.54E-03  
560001.E-02  6483.67E-05  7280.53E-03  
580001.E-02  6579.96E-05  7828.73E-03  
600001.E-02  6491.53E-05  7535.81E-03  
620001.E-02  6557.84E-05  7559.54E-03  
640001.E-02  6444.43E-05  7396.28E-03  
660001.E-02  6406.09E-05  7610.06E-03  
680001.E-02  6437.68E-05  7445.56E-03  
700001.E-02  6372.61E-05  7625.42E-03  
720001.E-02  6202.70E-05  7085.37E-03  
740001.E-02  6216.96E-05  6925.59E-03  
760001.E-02  5960.16E-05  6708.05E-03  
