====== W (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  W   Energy = 10260 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 6.338E22 atoms/cm3 = 19.35 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 63939 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  4008.66E-05  4694.13E-03  
400010.E-03  4210.70E-05  4787.42E-03  
600010.E-03  4258.20E-05  4663.72E-03  
800010.E-03  4328.87E-05  4973.97E-03  
100001.E-02  4396.48E-05  4932.12E-03  
120001.E-02  4507.89E-05  5414.58E-03  
140001.E-02  4631.71E-05  5344.95E-03  
160001.E-02  4717.35E-05  5399.57E-03  
180001.E-02  4800.63E-05  5686.71E-03  
200001.E-02  4886.91E-05  5707.83E-03  
220001.E-02  4990.21E-05  6048.05E-03  
240001.E-02  5060.48E-05  5781.83E-03  
260001.E-02  5169.64E-05  6268.25E-03  
280001.E-02  5325.34E-05  6391.24E-03  
300001.E-02  5461.67E-05  6633.89E-03  
320001.E-02  5568.63E-05  6629.72E-03  
340001.E-02  5647.95E-05  6805.89E-03  
360001.E-02  5719.37E-05  6965.18E-03  
380001.E-02  5891.34E-05  6998.31E-03  
400001.E-02  5981.53E-05  7235.40E-03  
420001.E-02  6158.65E-05  7561.85E-03  
440001.E-02  6206.60E-05  7636.68E-03  
460001.E-02  6429.47E-05  7573.07E-03  
480001.E-02  6378.92E-05  7444.09E-03  
500001.E-02  6401.69E-05  7604.16E-03  
520001.E-02  6540.53E-05  8180.57E-03  
540001.E-02  6482.72E-05  7519.91E-03  
560001.E-02  6519.76E-05  7450.72E-03  
580001.E-02  6595.38E-05  7724.67E-03  
600001.E-02  6506.09E-05  7726.69E-03  
620001.E-02  6635.82E-05  7694.24E-03  
640001.E-02  6456.09E-05  7435.87E-03  
660001.E-02  6429.77E-05  7434.29E-03  
680001.E-02  6489.73E-05  7638.22E-03  
700001.E-02  6369.76E-05  7709.58E-03  
720001.E-02  6216.96E-05  7185.76E-03  
740001.E-02  6163.66E-05  6684.72E-03  
760001.E-02  5923.37E-05  6654.17E-03  
780001.E-02  5574.93E-05  6166.92E-03  
800001.E-02  5465.08E-05  6088.67E-03  
820001.E-02  5125.75E-05  5860.02E-03  
840001.E-02  4900.58E-05  5443.52E-03  
860001.E-02  4620.90E-05  5008.31E-03  
880001.E-02  4220.71E-05  4504.89E-03  
900001.E-02  4013.06E-05  4393.68E-03  
920001.E-02  3800.75E-05  4074.37E-03  
940001.E-02  3406.02E-05  3570.08E-03  
960001.E-02  3024.95E-05  3150.38E-03  
980001.E-02  2782.31E-05  2821.82E-03  
100000.E-01  2414.25E-05  2476.11E-03  
102000.E-01  2152.79E-05  2191.87E-03  
104000.E-01  1824.32E-05  1799.39E-03  
106000.E-01  1598.80E-05  1537.52E-03  
108000.E-01  1336.00E-05  1240.06E-03  
110000.E-01  1073.16E-05  1017.93E-03  
112000.E-01  8704.18E-06  8292.19E-04  
114000.E-01  7009.11E-06  6554.91E-04  
116000.E-01  5488.25E-06  4897.58E-04  
118000.E-01  4287.00E-06  3755.00E-04  
120000.E-01  3704.87E-06  2957.36E-04  
122000.E-01  2721.84E-06  2285.49E-04  
124000.E-01  1992.97E-06  1482.82E-04  
126000.E-01  1515.53E-06  1324.15E-04  
128000.E-01  1107.02E-06  9361.60E-05  
130000.E-01  6510.10E-07  4037.46E-05  
132000.E-01  4160.05E-07  3220.45E-05  
134000.E-01  3425.03E-07  2711.07E-05  
136000.E-01  2015.00E-07  1211.25E-05  
138000.E-01  3150.00E-08  1545.31E-06  
140000.E-01  3950.00E-08  4248.84E-06  
142000.E-01  3300.00E-08  2476.44E-06  
144000.E-01  9000.00E-09  1569.25E-07  
146000.E-01  9000.00E-09  1665.97E-06  
148000.E-01  1750.00E-08  3104.02E-06  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
