====== W (10250KeV) into W6Ta                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  W   Energy = 10260 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 6.289E22 atoms/cm3 = 19.18 g/cm3
  Layer # 1-  W = 93.9 Atomic Percent = 94.0 Mass Percent
  Layer # 1- Ta = 6.09 Atomic Percent = 5.99 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 17705 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  3687.74E-05  1839.92E-03  
400010.E-03  3933.73E-05  2041.41E-03  
600010.E-03  4148.59E-05  2040.23E-03  
800010.E-03  4318.11E-05  2189.60E-03  
100001.E-02  4470.76E-05  2372.62E-03  
120001.E-02  4612.69E-05  2275.00E-03  
140001.E-02  4735.51E-05  2396.39E-03  
160001.E-02  4895.87E-05  2561.28E-03  
180001.E-02  5031.05E-05  2682.78E-03  
200001.E-02  5255.42E-05  2815.86E-03  
220001.E-02  5256.72E-05  2751.37E-03  
240001.E-02  5411.27E-05  2842.50E-03  
260001.E-02  5359.57E-05  2760.08E-03  
280001.E-02  5435.15E-05  2734.64E-03  
300001.E-02  5452.51E-05  2776.09E-03  
320001.E-02  5426.04E-05  2748.09E-03  
340001.E-02  5462.72E-05  2901.06E-03  
360001.E-02  5420.98E-05  2841.71E-03  
380001.E-02  5390.80E-05  2763.35E-03  
400001.E-02  5326.64E-05  2750.77E-03  
420001.E-02  5289.75E-05  2628.86E-03  
440001.E-02  5132.95E-05  2506.10E-03  
460001.E-02  4839.01E-05  2426.58E-03  
480001.E-02  4763.49E-05  2383.37E-03  
500001.E-02  4635.77E-05  2291.90E-03  
520001.E-02  4389.28E-05  2074.87E-03  
540001.E-02  4281.72E-05  2056.30E-03  
560001.E-02  4268.21E-05  1987.56E-03  
580001.E-02  3949.70E-05  1918.35E-03  
600001.E-02  3610.47E-05  1733.98E-03  
620001.E-02  3447.61E-05  1555.23E-03  
640001.E-02  3191.21E-05  1494.02E-03  
660001.E-02  2913.64E-05  1353.18E-03  
680001.E-02  2748.28E-05  1229.86E-03  
700001.E-02  2484.97E-05  1131.24E-03  
720001.E-02  2255.64E-05  1037.37E-03  
740001.E-02  2063.36E-05  9310.99E-04  
760001.E-02  1871.97E-05  8043.59E-04  
780001.E-02  1637.69E-05  7224.07E-04  
800001.E-02  1460.22E-05  6329.60E-04  
820001.E-02  1251.91E-05  5286.58E-04  
840001.E-02  1022.93E-05  4322.60E-04  
860001.E-02  9074.98E-06  3745.76E-04  
880001.E-02  7855.15E-06  3034.31E-04  
900001.E-02  6618.33E-06  2731.15E-04  
920001.E-02  5066.16E-06  1877.01E-04  
940001.E-02  4215.98E-06  1606.03E-04  
960001.E-02  3592.85E-06  1434.97E-04  
980001.E-02  2726.34E-06  1059.70E-04  
100000.E-01  2038.46E-06  7396.74E-05  
102000.E-01  1602.53E-06  5204.49E-05  
104000.E-01  1077.52E-06  3739.75E-05  
106000.E-01  9845.18E-07  3749.44E-05  
108000.E-01  6780.11E-07  2340.80E-05  
110000.E-01  4855.06E-07  1533.09E-05  
112000.E-01  4550.06E-07  1771.73E-05  
114000.E-01  3025.02E-07  6744.51E-06  
116000.E-01  1535.00E-07  5507.69E-06  
118000.E-01  1200.00E-07  3274.51E-06  
120000.E-01  6300.00E-08  1676.62E-06  
122000.E-01  3700.00E-08  6502.38E-07  
124000.E-01  1700.00E-08  3740.34E-07  
126000.E-01  3300.00E-08  1027.82E-06  
128000.E-01  1000.00E-09  2287.79E-07  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
